iter	stage1_iai_delta	stage1_iai_decision	stage2_median_pct	stage2_p	revert_ab	base_hash	cand_hash	status	files_changed	rationale
1	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	extension.rs	remove redundant mul in quintic_square res[0] — compiler already CSEs it, 0% iai delta
2	-7.4134	PASS	+8.0613	0.0	n/a	f2cc46a12bc1dbce104df905704d2269	9cf50a0f9c983d15f29655c48a7a6c70	discard_wallclock	eq_mle.rs	add eval_eq_4 base case to reduce recursion — iai great but wall-clock +8% regression, likely I-cache pressure from inflated inline function
3	+0.1647	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	eliminate per-iteration Vec allocs in sumcheck inner loops — column-major layout + eval_fn &[T] instead of Vec<T>. Increased Ir by +8.7% in compute_core closure despite fewer allocs
4	-5.6991	FAIL	-	-	n/a	-	-	discard_iai	eq_mle.rs	eval_eq_4 #[inline(never)] — eval_eq_basic -87.8% but unrelated quotient closure regressed +0.69% (compiler ripple effect exceeds strict 0.05% per-symbol threshold)
5	-	SKIP	+9.2088	0.0	n/a	f2cc46a12bc1dbce104df905704d2269	bd1a9b56d032add6a458430ac7d0f4d6	discard_wallclock	eq_mle.rs	[wallclock-only] eval_eq_4 #[inline(never)] — wall-clock +9.2% despite iai -5.7%. The 4-var base case has worse ILP than recursive 3-var: longer dep chain, less OoO overlap
6	-1.1220	PASS	+7.3228	0.0	n/a	f2cc46a12bc1dbce104df905704d2269	a780ebd140405d0992c4f14573956b62	discard_wallclock	eq_mle.rs	2-var-per-level recursion for n>=5 — iai -1.1% but wall-clock +7.3%. eval_eq_basic is at local wall-clock optimum, any structural change regresses
7	-	SKIP	+1.0138	0.0	n/a	f2cc46a12bc1dbce104df905704d2269	b5fd3dc8590d188aade455c7498180e7	discard_wallclock	product_computation.rs	[wallclock-only] swap (j,lane) to (lane,j) loop in base_ext_packed — compiler already does LICM, changed cache pattern slightly worse
8	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	eq_mle.rs+split_eq.rs	change assert_eq to debug_assert_eq in eval_eq_{1,2,3} and get_packed — compiler already eliminates via constant propagation, 0% iai delta
9	-	SKIP	-2.3771	0.0	pass	f2cc46a12bc1dbce104df905704d2269	0cafed7d611fdb3c76ae1e53868e7ffa	keep	extension.rs+packed_extension.rs	[wallclock-only] #[inline(always)] on quintic_mul + packed Mul impls — compiler was NOT force-inlining despite #[inline], 2.4% e2e speedup confirmed by revert-A/B
10	-	SKIP	-0.8348	0.0	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	593f72c881f8fb14109fda137daaabfd	discard_wallclock	extension.rs+packing.rs	[wallclock-only] #[inline(always)] on quintic_square + quintic_mul_packed — real -0.83% but below -1.5% wallclock-only threshold
