iter	hypothesis_id	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale	diagnostic
1	h1	-3.5	-0.19	—	discard	4	Early MerkleData release before sumcheck: freed tree buffers between opening and sumcheck to reduce dTLB pressure	Δ=-0.19% p=0.195 (noise). Working set reduction (~5-6%) too small; freed pages not TLB-resident during sumcheck anyway since they weren't accessed. Revert a992263e.
2	h4	-8.0	+80	—	discard	2	MAP_HUGETLB in zk-alloc arena mmap to use 2M pages, reducing dTLB miss rate	dTLB miss rate 51%→4% (success) but L3 cache set coloring penalty from 2M page alignment caused +80% regression. 28% more instructions, IPC 0.89→0.78. THP also broken on 6.8.0-100-generic (THPeligible=0 regardless of madvise hint). Revert ab99cef3.
3	h5	-1.5	+0.68	—	discard	2	with_min_len(64) on Merkle parallel loops to reduce Rayon work-stealing overhead	Statistically significant regression +0.68% p=0.001. Coarser task granularity hurt load balancing more than it saved in dispatch overhead. Rayon's fine-grained work-stealing is load-balancing uneven Poseidon hashing work. Revert 97af3032.

4	h6	-10.0	-20.03	—	keep	6	Blake3 hybrid Merkle leaf hashing for WHIR: Blake3 for leaves, Poseidon for internal nodes. O'Connor et al. 2020 (BLAKE3 spec §2-3) + Ben-Sasson et al. 2018/740 §5.2 — transparent Merkle needs only CRH, not algebraic friendliness. Updated prover (merkle.rs), verifier (merkle_verify_blake3), and proof-pruning restoration (fiat-shamir verifier.rs).	Δ=-20.03% p=0.0, ship-gate -13.98% vs origin/main, steady-state Δ=-21.19% p=0.0 (50 proofs after 200 warmup). Prediction -10% conservative — underestimated gather/scatter overhead eliminated by sequential Blake3 serialization + Montgomery reduction savings. Commit 9aeb9d74.
5	h10	-1.5	-0.22	—	discard	2	Raw Montgomery-form Blake3 leaf hashing: skip to_unique_u32 serialization, reinterpret &[KoalaBear] as &[u8] directly. Montgomery 1985 (bijection on [0,p)) + O'Connor et al. 2020 (BLAKE3 §2, CRH for arbitrary bytes). Applied to prover merkle.rs and fiat-shamir verifier.rs.	Δ=-0.22% p=0.265 (noise). Blake3 leaf hashing is only 2.33% of total; serialization overhead (alloc+convert+copy) was ~0.9% additional at most. Compiler likely auto-vectorized the to_unique_u32 loop making it nearly free. Noise floor 0.75% exceeded signal. Kill condition confirmed: serialization was not the bottleneck. Revert 479a3f29.
6	h11	-4.0	+0.23	—	discard	1	Fused eq fold in run_phase1_sumcheck: replace per-round eval_eq_packed recomputation with in-place fold. Thaler 2013 §3.2 + Setty/Thaler/Walfish 2012 §4.1 — incremental eq bookkeeping table. Fold eq_within in place: new[i]=old[i]*(1-r)+old[i+half]*r, track eq_scale, divide coefficients.	Δ=+0.23% p=0.35 (noise). Fold does 2 muls+1 add per element vs eval_eq_packed's 1 mul per element in binary recursion — fold is NOT cheaper per element despite operating on shrinking array. Additionally, per-round eq_scale.inverse() (extension field inversion) adds overhead that nullifies any memory-access savings. eval_eq_packed is 4.92% spread across ~20 rounds (0.25%/call); marginal fold savings per call are below noise floor. Revert de661734.
7	h12	-4.0	-1.33	—	keep	3	Blake3 internal Merkle node compression: replace Poseidon-16 for all tree levels. Arnon/Chiesa/Fenzi/Yogev 2024/1586 §1,§6.1 + O'Connor/Aumasson/Neves/Wilcox-O'Hearn 2021 (BLAKE3) §2.5,§3. Cross-crate: symetric (from_first_layer_with_fn), whir (prover+verifier), fiat-shamir (proof restoration). Inspiration: h6 extended to full tree.	Δ=-1.33% p=0.0 (t=-8.526). Criterion vs origin/main: -15.17%. Prediction -4% overestimated — profile's 7% Poseidon compression included Fiat-Shamir permute_mut, not just Merkle internal nodes. Packed Poseidon (16-wide SIMD) amortized compression cost more than anticipated. Blake3 serialization overhead (16 to_unique_u32 per internal node) is non-trivial. Net: internal compression dropped from ~4-5% to ~1% of total. Commit c778ef43.
8	h8	-3.0	+0.41	—	discard	1	Incremental eq fold in run_phase1_sumcheck + quotient_sumcheck_prove_packed_br_base: replace per-round eval_eq_packed recomputation with additive fold eq_new[i]=eq_old[i]+eq_old[i+half]. Thaler 2013 §3.2 — summing over removed variable cancels factor. Applied to both br_base rounds 0→1 and while loop.	Δ=+0.41% p=0.124 (noise). eval_eq_packed profile attribution of 2.84% likely inflated by 16.4% perf sample loss. Addition-based fold is mathematically correct (correctness passed) but the absolute runtime cost of eval_eq_packed is too small to produce a measurable signal. Binary recursion's cache-friendly sequential access pattern may also compete favorably with stride-half fold pattern. Both h11 (wrong fold, iter 6) and h8 (correct fold, iter 8) null — eval_eq_packed is NOT the bottleneck. Revert 296f4f49.
9	h15	-1.5	-0.59	—	discard	3	Blake3-based Fiat-Shamir sponge: replace Poseidon-16 permute_mut in challenger with Blake3 XOF. Created Blake3Permutation implementing Permutation for scalar + packed KoalaBear. Updated utils/wrappers.rs. Profile: permute_mut = 1.85%.	Δ=-0.59% p=0.001 (t=-3.762). Signal IS real but below -1.0% keep threshold. Poseidon permute_mut at 1.85% was partially inflated (perf sample loss). Blake3 XOF + to_unique_u32 serialization + from_le_bytes reconstruction has ~132 cycle overhead vs ~2000 for Poseidon-16 — but actual savings only 0.59% of 9s total. Indicates Poseidon for Fiat-Shamir is ~0.6-0.8% of actual runtime (not 1.85%). Revert f4ecc6b3.
12	10	h17	-5.0	+52.34	—	discard	2	Degree-3 Poseidon AIR via single-round checkpointing: replace 2-round blocks (degree 9→10) with per-round checkpoints (degree 3). Columns 109→189, eval points 10→3. Grassi et al. 2021/1167 §5.1-5.2 degree-vs-column tradeoff + Thaler 2013/351 §3.1 sumcheck eval count = degree+1.	Δ=+52.34% p=0.0 (t=54.405). CATASTROPHIC. 80 new columns (109→189) increased TOTAL trace from 166→246 cols (+48%). Poseidon dominates total col count (69% of baseline). Every trace-width-dependent operation (DFT, Merkle commit, fold, memory) scales linearly with total cols. The ~48% trace width increase matches the ~52% regression almost exactly. AIR sumcheck eval-point savings (~8%) completely overwhelmed by trace-width costs. CRITICAL LEARNING: degree-vs-column tradeoff ONLY helps when the target table is a SMALL fraction of total trace. Poseidon at 69% of columns makes width increases catastrophic. Revert 1cf91bf2.
13	11	h22	-2.0	-0.24	—	discard	3	In-place multilinear fold for AIR sumcheck: after round 0 (base→ext type change), fold extension→extension in-place instead of allocating new Vec per column per round. Sequential within each column (output idx < input idx), par_iter_mut across ~166 columns. Thaler 2013/351 §3.2 + Setty 2020/1618 §4.1.	Δ=-0.24% p=0.266 (noise). Allocator's thread-local free list recycles exact-sized chunks from the previous round's deallocation, so uninitialized_vec returns already-mapped, TLB-warm pages — allocation overhead is ~0 when the alloc/free pattern is warm (prove_loop steady-state). Cache locality gain also negligible: the fold writes all elements of the new buffer immediately, so the allocator's fresh pages fault in sequentially regardless of in-place vs out-of-place. Page fault overhead prediction was wrong — glibc mmap threshold (128KB) means large allocs use mmap, but the mmap'd pages from the just-freed buffer are likely returned to the same virtual range by the kernel (MAP_PRIVATE + MADV_FREE). Revert e68d1640.
