iter	tier1_criterion_pct	tier1_p	tier2_prod_pct	status	files_changed	rationale
1	-	-	-	profile	-	Allocation profiling (heaptrack + custom GlobalAlloc counters; DHAT attempted but abandoned — Valgrind serializes threads, hiding Rayon contention) + Plonky3/SP1/Jolt alloc survey. 13M allocs, 16.7GB total per run. Top sites: #1 bit_reverse_chunks 3.2GB (GKR), #2 WhirConfig::round 312MB, #3 fold_multilinear_at_bit 156MB, #4-19 Rayon par_collect ~1.4GB, #20 MerkleTree::from_first_layer 62MB. Patterns: Plonky3 for_each_init, Jolt unsafe_allocate_zero_vec + spare_capacity_mut, SP1 WorkerQueue pooling.
2	-0.28	0.90	-	discard_wallclock	layers.rs	Fused unpack_extension+bit_reverse_chunks into single-pass to eliminate ~1.6GB intermediate Vec. Correct but no measurable speedup: only 2 large allocs eliminated, bench uses mimalloc which handles large allocs efficiently. Wrong target — need to focus on the ~4M small par_collect allocs not the few large ones.
3	-0.62	0.01	-	discard_wallclock	sc_computation.rs	Changed eval_fn from Vec<T> to &[T] in 4 sumcheck functions, pre-allocated point_buf/diff_buf per parallel work item. Eliminates per-k-iteration .collect() in split_eq variants (from packed_hi*(degree+1) allocs to 2 per item). Glibc bench: -0.62%, p=0.01. Real but below 1.0% gate. Small n_cols (2-40 elements) means each eliminated alloc was cheap. Need deeper approach: for_each_init to eliminate ALL per-call allocs, or target other hotspots.
4	-2.12	0.00	-	KEEP	eq_mle.rs	Replaced into_par_iter().chunks() with par_chunks_exact() in compute_eval_eq_packed and compute_eval_eq_base_packed. Rayon chunks() creates a Vec per chunk — 9.09M allocs (70% of total) from WHIR equality updates calling this per STIR query. Fix: use slice-based par_chunks_exact (zero-alloc). Allocs: 12.94M→3.64M (-71.8%). Glibc bench: -2.12%, p=0.00. Gate passed.
5	-0.47	0.00	-	discard_wallclock	matrix.rs	Override vertically_packed_row_rtl on DenseMatrix (zero-alloc direct indexing) and FlatMatrixView (1 alloc via inner wrapping_row_slices instead of 17). Merkle build allocs: 1.62M→14K (-99.1%). Glibc bench: -0.47%, p=0.00. Real but below 1.0% gate — each eliminated alloc was tiny (~128B wrapping_row_slices Vecs).
6	-0.22	0.02	-	discard_wallclock	layers.rs	In-place bit_reverse_chunks to eliminate output Vec allocation in unpack_and_unreverse_active. Saves 20 large (>1MB) allocs. Glibc bench: -0.22%, p=0.02. Negligible — large alloc/dealloc is fast in glibc.
7	-3.25	0.00	-	KEEP	runner.rs,table_trait.rs	Pre-allocate trace column Vecs in parallel batch segments with capacity derived from first iteration. Eliminates ~210K reallocation cascade allocs across 1399 parallel segments × ~170 columns. Allocs: 3.64M→3.44M (-5.7%). Glibc bench: -3.25%, p=0.00. Big win from reduced allocator contention in Rayon threads.
8	-1.90	0.00	-	KEEP	matrix.rs	Override vertically_packed_row_rtl on DenseMatrix (zero-alloc direct indexing with precomputed row offsets) and FlatMatrixView (1 alloc via inner wrapping_row_slices, not 17). Phase 14 allocs: 1.62M->14.4K (-99.1%). Total allocs: 3.44M->1.77M (-48.5%). Glibc bench: -1.90%, p=0.00. Precomputed row offsets avoid modulo in inner loop.
9	+1.13	0.00	discard_wallclock	poseidon_16/mod.rs	Replaced 2 get_slice() calls (Vec alloc via collect) with 16 individual get() calls into stack array. Regression +1.13%, p=0.00. Per-element get() through trait dispatch slower than batch get_slice() despite eliminating 2 small Vec allocs.
10	+0.71	0.00	discard_wallclock	extension_op/exec.rs	Fused read+trace loop eliminating 4 of 5 Vec allocs in exec_multi_row. Regression +0.71%, p=0.00. Extra trace column indexing for deferred VRES/COMP fill added overhead exceeding alloc savings.
