iter	hypothesis_id	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale	diagnostic
1	h1	-25	+10.67	-	discard	product_computation.rs,open.rs	SplitEq factored eq for WHIR product sumcheck round 0 (eprint 2025/1117 Sec 3, eprint 2024/1210 Sec 3). Replaced full 2^n eq table materialization with per-point SplitEq reconstruction.	WRONG DIRECTION. SplitEq::get_packed does 1 EFPacking multiply per call. With 2 terms + sparse, inner loop does ~8 EFPacking muls per element (2x w_lo + 2x w_hi). Original code does 1 flat read per element after cheap O(2^n) recursive fill. On M4 NEON the bottleneck is compute throughput not memory bandwidth (IPC=4.33 serial). The factored approach trades cheap memory reads for expensive on-the-fly EFPacking multiplies — net negative. Kill condition should have included: verify compute_eval_eq_packed_dual per-element cost < SplitEq::get_packed per-element cost. DO NOT REATTEMPT SplitEq-based factoring for the product sumcheck weights — the per-element reconstruction cost exceeds flat-table access.
2	h5	-5	-0.02	-	discard	product_computation.rs	Delayed-reduction base×ext sumcheck kernel for round 0 (eprint 2025/1117 Sec 4, Plonky3 strategy.rs). Activated dead-code compute_product_sumcheck_polynomial_base_ext_packed replacing sumcheck_quadratic with u128/i128 accumulators.	NO EFFECT. The dead code processes lanes sequentially (for lane in 0..PF::WIDTH) with scalar u64 arithmetic, forfeiting NEON SIMD parallelism. The packed sumcheck_quadratic uses NEON to process all 4 lanes simultaneously. Montgomery reduction savings per lane are cancelled by the 4x throughput loss from scalar-vs-packed operation. On M4 NEON, packed quintic_mul already amortizes Montgomery cost across 4 lanes. DO NOT REATTEMPT scalar delayed-reduction for the product sumcheck — must use NEON-vectorized delayed reduction (e.g. via widening u32×u32→u64 NEON intrinsics) to beat the packed path.
3	h6	-7	+19.15	-	discard	eq_mle.rs,open.rs	Fused eq-table generation + round-0 sumcheck dot product (eprint 2025/1117 Sec 5, eprint 2023/1284 Sec 3). Paired lo/hi thread chunks to generate eq weights and immediately compute sumcheck c0/c2 coefficients, eliminating second pass over 1.34 GiB weight table.	WRONG DIRECTION. Halving thread parallelism (16→8 tasks, each doing lo+hi pair) caused ~2x per-task work with only half the thread utilization. On M4 with 10 cores, 8 tasks severely underutilizes the hardware. The dot product add-on per task further increases wall-clock. The original two-pass approach uses full 16-task parallelism for eq generation AND full par_iter parallelism for the dot product — both passes are individually better parallelized. The "saved" second DRAM pass is dominated by the lost thread parallelism. DO NOT REATTEMPT lo/hi thread pairing — cache locality gain is negligible on this scale (40 MiB per chunk >> L2 192 KB) and thread utilization loss is catastrophic. True fusion requires interleaving dot product inside the recursive eq descent itself, not post-hoc pairing.
4	h10	-20	+7.4	-	discard	eq_mle.rs	Iterative level-by-level eq table doubling replacing recursive binary descent (FOCS 1999, eprint 2025/1117 Sec 3.2). Sequential memory access via ping-pong buffers for two separate eq polynomial arrays.	WRONG DIRECTION. Iterative approach has 12× more memory traffic than recursive. Recursive carries scalars in registers (zero reads, each output written once = 335 MiB). Iterative reads+writes entire growing array at each of 22 levels = ~4 GiB per polynomial. Sequential access does NOT compensate for 12× bandwidth increase. M4 write-combining handles recursive writes well. DO NOT REATTEMPT iterative eq construction — recursive is fundamentally superior due to register-carried scalars.
5	h11	-30	-0.07	-	discard	product_computation.rs,open.rs	Factored eq polynomial with tiled product sumcheck (eprint 2026/587 Sec 3, eprint 2023/1284 Sec 3.1). Split eq(z,x) = eq_top(z_top,x_top) × eq_bot(z_bot,x_bot) with k=7 matching initial folding factor. Replaced compute_eval_eq_packed_dual with factored eq_top (128 EF entries) + eq_bot (2^17 packed entries) + corrections table for sparse statements.	NO EFFECT. Three compounding problems: (1) corrections table must be full-size (2^24 packed entries = 320 MiB) because sparse statements (memory_acc with inner_num_vars=24) fill nearly the entire weight table — no memory saving; (2) materialize_and_fold_factored after round 0 costs 2^23 × 50 packed muls = 420M (as expensive as original eq generation); (3) factored round-0 inner loop at 64 × 2^17 × 30 packed muls = 250M adds on top. Net compute: ~1.5B packed muls vs original ~500M. The factored approach only wins when corrections are genuinely sparse (few non-OOD statements, small inner_num_vars). DO NOT REATTEMPT factored eq on this codebase — the stacked PCS generates corrections spanning half the weight table.
6	h9	-4	+0.59	-	discard	air_sumcheck.rs	Parallel batched AIR sumcheck across tables (eprint 2025/1117 Sec 5, eprint 2019/550 Sec 6). Changed compute_bare_round_poly to &self, added Send+Sync to trait, used par_iter on active sessions.	WRONG DIRECTION. +0.59% (p=0.053). The inner par_iter in compute_raw_poly_degree_split already saturates all cores for each session. Running 3 sessions concurrently via par_iter adds rayon task scheduling overhead (spawn+join for 3 trivial items) and causes thread contention with the inner parallelism. The 4/10 core utilization is averaged across sequential phases (Fiat-Shamir, eq setup, folding) — during the hot compute_raw_poly loop, cores ARE saturated. Cross-session parallelism is counterproductive when inner-session parallelism already uses all cores. DO NOT REATTEMPT outer-level table parallelism — the bottleneck is intra-session compute throughput, not inter-session scheduling.
7	h25	-6.5	+0.53	-	discard	poseidon1_koalabear_16.rs,sponge.rs,permutation.rs,merkle.rs	Interleaved 2x Poseidon sponge chains for Merkle leaf hashing (eprint 2009/442 Sec 3, Poseidon paper eprint 2019/458 Sec 5). Round-level interleaving of two packed permutations.	WRONG DIRECTION. M4 Pro 32 NEON 128-bit registers fully utilized by single permutation (16 PackedKB state values). 2x interleaving requires 32 values, causing register spills. Existing InternalLayer16 split already provides adequate ILP between S-box and dot-product paths.
8	h27	-1.7	+0.22	-	discard	dft.rs	LAYERS_PER_GROUP=4 quad-layer DFT butterfly (Harvey JSC 2009 §4.2, Bernstein eprint 2009/442 §3). 16-sub-block parallel pass reducing full-matrix passes from 6 to 4.	NO EFFECT. delta=+0.22%, p=0.30. The 15-way zip and larger rayon work items in the quad-layer pass add scheduling overhead that offsets the memory pass reduction. The existing LAYERS_PER_GROUP=3 is already a good tradeoff between pass count and per-pass overhead. DO NOT REATTEMPT higher LAYERS_PER_GROUP — diminishing returns from batching more layers per pass.
9	h38	-2.5	+0.14	-	discard	air_sumcheck.rs	Row-major (AoS) column layout for AIR sumcheck inner loop (eprint 2024/1539 §3.2, cache-coalesced access). Transposed SoA columns to contiguous row-major buffer before par_iter.	NO EFFECT. Clean measurement: delta=+0.14%, p=0.54, noise_floor=0.25% (reliable). The O(n*n_cols) transpose cost (~184MB allocation+copy per round) exceeds any cache locality benefit. The existing SoA access pattern with rayon's sequential par_iter already achieves good locality: consecutive new_j values access the same chunk (2^fold_bit elements) of each column, fitting in L2. The scattered 22-column loads are not the bottleneck — each column pointer dereference is a single indexed load that the hardware prefetcher handles. DO NOT REATTEMPT SoA→AoS transpose for AIR sumcheck — the transpose overhead dominates.
10	h39	-1.5	-0.02	-	discard	field.rs,packed_extension.rs,product_computation.rs	Delayed Montgomery reduction via tiled mixed_dot_product in product sumcheck (Plonky3 PR#1597 478d2b47, Harvey JSC 2014 §2.3). Added mixed_dot_product<8> to Algebra trait, overrode for PackedQuinticExtensionField with coordinate-wise D=5 base-level dot_product::<8> calls. Tiled compute_product_sumcheck_polynomial in K=8 chunks.	NO EFFECT. delta=-0.02%, p=0.94, noise_floor=0.36% (reliable). The product sumcheck inner loop is MEMORY-BANDWIDTH BOUND, not compute-bound on Montgomery reductions. With 2×1.28GB (evals+weights) per round, the M4 Pro memory subsystem is the bottleneck. The NEON delayed-reduction primitive saves ~6 instructions per K=8 tile (reducing 8 Montgomery reductions to 1), but the loop is stalled on cache misses, not ALU throughput. The Plonky3 -28% kernel result was on a microbenchmark fitting in cache; at 2^24 packed elements the working set far exceeds all cache levels. DO NOT REATTEMPT delayed-reduction tiling for the product sumcheck at this data scale — the bottleneck is DRAM bandwidth, not ALU.
