id	category	hypothesis	test_file	result	severity	commit	notes
1	dft	lde_batch(mat, 0) should be identity for all DFT impls	dft/tests/testing.rs	not_found	not_found	31c9a6f6/ad1dba79	all 5 DFT impls (Naive, Radix2Dit, Bowers, Parallel, SmallBatch) correctly return mat for added_bits=0 across log_h 0..=6 and widths 1,2,3,4,5,8,16,17. Reverted.
2	field	AVX-512 dot_product_4/8/64 with all P-1 inputs (max canonical) hits boundary 4P^2 > P*2^32 path	baby-bear/src/x86_64_avx512/packing.rs	not_found	not_found	c1540cde/4062300a	dot_product_4, dot_product_8, dot_product_64 all match scalar reference with all (P-1) inputs. The C' = C - P*2^32 reduction in dot_product_4 handles boundary correctly. Reverted (covered by existing boundary_sweep harness).
3	field	monty_reduce input bound for scalar dot_product cases 2-8	-	not_found	not_found	-	Verified analytically: case 2 sum < 2P^2 < P*2^32; cases 3-8 use large_monty_reduce or the head/tail min-reduction trick with sum < 2*P*2^32. All bounds hold strictly for any P < 2^31.
4	field	to_monty_signed with i32::MIN edge case	-	not_found	not_found	-	Traced: (-2^31 << 32) % P fits in i64; result in (-P, 0]; cast to i32 safe (< 2^31 in magnitude). Then PRIME.wrapping_add_signed(red) produces correct positive Monty form.
5	field	div_2exp_u64 boundary at exp=32	-	not_found	not_found	-	Verified algebraically: long_prod = self.value << 0 = self.value; monty_reduce(self.value) = self.value * R^-1 mod P, which is the Monty form of canonical(self) / 2^32. Equivalent to one Monty reduction.
6	field	mul_2exp_u64 lookup table covers exp 0..63	-	not_found	not_found	-	MONTY_POWERS_OF_TWO[i] is the Monty form of 2^i for i in 0..63 (uses to_monty_64 for i>=1, MONTY_ONE for i=0). Confirmed against the correct definition.
7	field	from_canonical_checked for i64/i128 with int as i32 truncation	-	not_found	not_found	-	Bound (P>>1) < 2^30 for both BabyBear/KoalaBear, so int in [-(P>>1), P>>1] always fits in i32 without truncation.
8	dft	RecursiveDft cache concurrency: thread A updates for fft_len=N1, thread B for fft_len=N2, simultaneously	-	not_found	not_found	-	Traced: missing_twiddles at index i represents level i+have, which is a (2^(level+1))-th root of unity, derived from main_generator^(2^(req_lg_n-level-1)). Thanks to TWO_ADIC_GENERATORS[k]^2 = TWO_ADIC_GENERATORS[k-1] invariant, sub_generators are consistent across different req_lg_n. The extend_from offset correctly skips already-added entries.
9	field	mm512_mod_add/sub on (canonical, [0,P]) inputs from non-canonical mul_neg_2exp_neg outputs	-	not_found	not_found	-	Analyzed Poseidon2 add_sum: sum < P, input <= P. mm512_mod_add gives [0, P) since sum + input < 2P (strict). mm512_mod_sub gives [0, P) since |sum - input| <= P with strict inequality (cant reach -P). Non-canonical P from diagonal_mul correctly handled.
10	field	monty_reduce_u128 boundary 2*R*P close to 2^64	-	not_found	not_found	-	For 31-bit primes: 4*R*P > 2^64 strictly (4*R*P = 2^65 - 2^60 + 2^33 for BabyBear), so single subtraction of 2*R*P always reduces lo into [0, 2*R*P). hi*R^2 ≡ hi*2^64 (mod P) so the algorithm correctly recovers x*R^-1 mod P.
11	field	Binomial extension quartic_mul/quintic_mul/octic_mul against direct polynomial mul mod (X^D - W)	-	not_found	not_found	-	Verified each coefficient C0..C(D-1) by tracing the dot_product chains. All formulas match the polynomial multiplication mod X^D - W reduction.
12	field	AVX-512 quintic_mul_packed_trinomial reduction mod (X^5 + X^2 - 1)	-	not_found	not_found	-	Traced all 5 output coefficients through the dot_product_2 packed lanes. The b1_minus_b4, b3_plus_b4_minus_b1 etc. helpers and even/odd lane assignments match the (X^5 = 1 - X^2) reduction formula exactly.
13	field	AVX-512 xor and andn argument order/semantics	-	not_found	not_found	-	xor: 2*lhs * (2^31 - rhs) computed via mul; rhs added back via mm512_mod_add. The 2^31 constant (set as -1<<31) interpreted as u32 via _mm512_sub_epi32 gives 2^31 - rhs in [2^31 - P + 1, 2^31]. Bound 2P * 2^31 < 2^32*P holds. Result equals Monty(lhs + rhs - 2*lhs*rhs).
14	dft	Radix2Dit.dit_layer twiddle indexing matches standard DIT for layer L > 0	-	not_found	not_found	-	twiddles[ind << layer_rev] = g^(ind * 2^(log_h-1-L)) = (g_{2^(L+1)})^ind. Matches DIT convention where layer L butterflies use 2^(L+1)-th roots of unity in the powers 0..2^L-1.
15	dft	Forward DIF butterfly (monty-31) for x.value == y.value (so t = PRIME)	-	not_found	not_found	-	t = PRIME ≡ 0 (mod P). t * w.value ≡ 0 (mod P). monty_reduce returns canonical 0. So output is (x+y, 0). Correct: DIF butterfly of (x, x) is (2x, 0).
