hypothesis_id	magnitude	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale
iter0-baseline	-	-	-	324.6	baseline	-	origin/main@c868330c. proof_bytes baseline range observed: 330810-331753 (~0.3% natural variance across runs from non-deterministic prover state). pw4_2-m4m-2026-05-13 branch created in leanMultisig from c868330c.
h1-attempt1	structural	+2.5	+0.35	323.4	discard	poseidon1_koalabear_16.rs,permutation.rs,compression.rs,merkle.rs	Target A.1 permute_state_x2. p=0.37. Disassembly diagnostic: candidate compress_layer.closure has separate symbol (5689 instrs); baseline has none (fully inlined). Cascade of #[inline(always)] inflated closure past cost threshold → outlined → call-overhead in hot path. Classify (b) implementation-bug; attempt 2 = break inline chain.
h1-attempt2	structural	+2.5	+0.93	-	dead-end	compression.rs	Removed #[inline(always)] from compress_x2 helper. Closure re-inlined into MerkleTree::from_first_layer (compress_layer.closure symbol gone, compress_x2 outlined as planned). Result: WORSE (Δ=+0.93%, p=0.024). Conclusion: M4 NEON OoO scheduler already saturates one permutation; cross-permutation ILP has nothing to extract. Function-call overhead in attempt 2 + zero scheduler win = net regression. Classify (a) hypothesis-wrong. h1 exhausted (2 attempts). Reverted in commit a08f5a42. Counter: 1.
h2-attempt1	medium	+1.5	+0.32	-	dead-end	whir/src/merkle.rs	Target C.1 first-layer compression fast-path. p=0.19, within noise. Diagnostic: WHIR_INITIAL_FOLDING_FACTOR=7 (n_blocks=128) and WHIR_SUBSEQUENT_FOLDING_FACTOR=5 (32). full_base_width is 128/32/160/640 in prove_loop — NEVER 16. My fast-path requires full_width==WIDTH==16 → fires 0 times. Class-mismatch (a hypothesis-wrong); program-described condition not satisfied in this workload. Attempt 2 (extend to first_digest_layer_with_initial_state) skipped: even there, sponge-overhead savings ≤ ~50 cycles/row out of ~1000-2000 for compress → max 0.06% wall (10× below gate). Reverted in commit 60559a0e. Counter: 2.
h3-attempt1	medium	+2.0	+0.52	-	dead-end	backend/poly/src/eq_mle.rs	Target D.1 lift via precompute eq_middle per query in compute_eval_eq_base_packed_batched. Implementation per the dev's own TODO comment at L419-421 ("2x faster on M4 max, 2x slower on smaller caches"). Result: REGRESSION (Δ=+0.52%, p=0.06). |measured|≥0.5% AND p<0.10 meets orphan criteria BUT it's a regression — orphan-bundling logic doesn't apply (would slow down bundle). Classify (a) hypothesis-wrong: M4 base 8 MB SLC + 4-query × 16 KB eq_middle vectors evict each other from L1/L2 between tile chunks, so precompute's per-tile memory reads cost more than the lazy expansion saves. The dev's smaller-cache warning applies to M4 base. Reverted in commit 1e59b5f3. Counter: 3.
h4-attempt1	medium	-2.0	(crash)	-	implementation-bug	lean_prover/src/prove_execution.rs	Off-pool h4: 8-thread custom rayon pool via OnceLock+install. CRASHED on second proof: lean-rayon-0 worker hit "failed to lock mutex: Invalid argument" + "rayon vec mid > len". Diagnosis: zkalloc per-phase reset between proofs invalidates worker thread state when workers spawn AFTER the first begin_phase. Default rayon pool spawns workers during precompute_dft_twiddles (BEFORE begin_phase), so they register with zkalloc cleanly. Custom-pool workers spawn lazily on first install() = inside begin_phase = zkalloc state mismatch. Classify (b) implementation-bug; attempt 2 = init pool earlier.
h4-attempt2	medium	-2.0	+10.94	-	dead-end	whir/src/utils.rs	Hooked rayon::ThreadPoolBuilder::build_global(8) into precompute_dft_twiddles, so workers spawn before any zkalloc activity. Smoke test passes. Eval: REGRESSION +10.94% (p=1.2e-5). The lost P-units (16% headroom drop) far exceeds the cvwait reduction. Profile-anchored mechanism didn't translate: even with 8 threads (≈4P+4E), some E-cores remain laggers AND the now-missing 2 E-cores' compute is no longer absorbed. Classify (a) hypothesis-wrong. h4 exhausted. Counter: 4.
h5-phase1	medium	+1.0	-	-	dead-end	(no impl)	Target A.3 mds_fft constant fold (push lambda16 muls INTO IFFT's last bt layer). Phase-1 kill: critical-path math shows ZERO saving on M4 NEON. Without fusion: 8 parallel bt's (2 cycles SIMD) then 16 parallel lambda muls (3 cycles) = 5-cycle stage. With fusion: bt+lambda = 2 adds → 2 muls, sequential per element, 2+3 = 5 cycles. Identical depth, identical mul count. Pool itself rated A.3 at +1-2% (below gate floor) — analysis confirms even the upper end isn't reachable via this mechanism on NEON. No implementation needed; kill condition fires before measurement per Phase 1 protocol. Counter: 5.
h6-phase1	structural	+2.0	-	-	dead-end	(no impl)	Target A.2 single-permutation re-scheduling for ZMM register budget. Phase-1 kill: target mechanism is the 2.22% AVX-512 stack-spill hot line (vmovdqa64 to/from %rsp). NEON does NOT have this — 4 PackedKB per state × 1 perm = 4 of 32 NEON Q-regs, 87% headroom. Even the partial-round body's max live set fits comfortably. Secondary mechanism (LLVM scheduler dep-chain shortening from explicit lifetime boundaries) is bounded by the 15-cycle critical path (sbox 6 + rc 3 + final mul/add 6) which my "+rc fusion" subanalysis showed is unshortenable: moving +rc from mid-chain to the +partial_dot step preserves total depth. Confirmed Phase 1 kill before implementation. Counter: 6.
h7-phase1	medium	+1.0	-	-	dead-end	(no impl)	Target C.2 eliminate leaf-pad-to-full_leaf_base_width step in WhirMerkleTree::open (whir/src/merkle.rs:205-211). Phase-1 kill: open() is invoked PER QUERY at proof generation, not per leaf during commit. Profile shows merkle commit cluster ~5% (first_digest_layer + hash_slice); open path is a fraction of that and not in the top-12 self-time symbols. Pool itself states "sub-gate alone, viable as a bundle with C.1" — and C.1 is already dead-ended. No bundle target remains. Predicted Δ% well below 0.5% measurement floor; kill condition fires before implementation per Phase 1 protocol. Counter: 7.
