id	category	hypothesis	test_file	result	severity	commit	notes
bh3-A1	composition	batch_multiplicative_inverse split prefix+tail (#1608) preserves correctness; each chunk is an independent Montgomery batch	N/A (analytical)	not_found	N/A	d7bfe451	Montgomery's trick is self-contained per slice. Splitting at multiples of WIDTH=4 produces two independent Montgomery batches whose union of inverses is valid. Verified par_chunks(CHUNK_SIZE=1024) likewise gives independent chunks
bh3-A2	composition	halve goldilocks branchless mask (#1606) is bitwise-equivalent to halve_u64 on all u64 inputs	N/A (analytical)	not_found	N/A	d7bfe451	Sum of half (≤2^63-1) + (P+1)/2 (=0x7FFFFFFF80000001) max = 0xFFFFFFFF80000000 < 2^64. wrapping_add cannot overflow on any u64 input; identical to old +. div_2exp_u64 short-circuits exp=0/1 still produce same field element since 2^192≡1
bh3-1	composition	PackedBinomialExtensionField::mixed_dot_product (#1597 override) lane-mixed boundary inputs match per-lane scalar EF arithmetic	field/tests/hunt3_packed_ext_dotproduct.rs	not_found	N/A	d7bfe451	Override decomposes (a*f) extension dot product as D base dot products per coordinate. With 4 lanes each carrying a distinct boundary mix (0/1/-1/random) over N=8 inputs, results agree bit-for-bit with scalar BinomialExtensionField mixed_dot_product per lane. Reverted in 1c9b5c14
bh3-2	composition	WHIR sumcheck_coefficients_prefix K=8 chunked path agrees with scalar across all tail sizes (0,1,3,5,7) and par-threshold	whir/tests/hunt_sumcheck_packed_vs_scalar.rs	not_found	N/A	0c429194	5/5 tests passed: lane-summed packed (h0, hinf) bit-equal to scalar fold result. Tail handling, chunk boundaries, diffs_e/diffs_w sign all correct. Reverted in revert commit
bh3-3	composition	WHIR sumcheck_coefficients_suffix on packed inputs has different semantic than on scalar inputs (binds variable at log2(WIDTH), not lowest var). NOT a bug because suffix-with-packed is not currently used in WHIR	N/A (analytical)	not_found	N/A	0c429194	Packed suffix's chunks(2) pairs adjacent packed elements; lane l of pair (p[2k], p[2k+1]) corresponds to scalar (p[2k][l], p[(2k+1)][l]) = (evals[2k*W+l], evals[(2k+1)*W+l]) — variable at position log2(W). fix_suffix_var_mut on packed binds the same variable, so prover/verifier agree. Scalar suffix binds lowest variable. WHIR currently only calls new_packed with VariableOrder::Prefix; suffix-with-packed exists in the API but isn't reached by main flow
bh3-4	composition	interpolate_arbitrary_point early-exit returns Some(row) on duplicate-domain inputs whose target matches the duplicate value, violating the documented "None if any domain points coincide" contract	matrix/tests/hunt4_interpolate_dup_early_exit.rs	found	medium	e558e30d (test) 940f8206 (fix)	BUG: x_coords=[1,2,1] with target=1 returned Some([row 0]) instead of None. Fix moves barycentric_weights duplicate check ahead of the equality scan. Severity: medium because (1) function has no current production callers in Plonky3 — only tests, (2) only triggers on ill-formed user input. Could escalate if external provers (leanMultisig, SP1) start using the API
bh3-5	composition	PackedCubicTrinomialExtensionField (and PackedQuinticTrinomialExtensionField) violate PackedValue contract: SoA storage [PF; D] cannot be safely cast to [Value; WIDTH]=[[F; D]; W] (AoS), but the unsafe impl PackedValue does exactly that	N/A (deferred test)	found	medium	ba919a23	The raw transmute in as_slice/from_slice/etc. is unsound for PackedCubic/PackedQuintic. Test was deleted because proper fix needs architectural change: either drop the unsafe impl PackedValue (breaking) or move to AoS storage (loses SIMD). Documented for later
bh3-6	composition	PackedCubicTrinomialExtensionField::div(Self, Self) used as_slice (broken by bh3-5) for lane-wise inversion; Quintic Div same pattern via batch_multiplicative_inverse_general. Both produce wrong field elements	field/tests/hunt6_packed_cubic_div.rs	found	critical	80a3aacd (test) c91d010f (fix)	BUG: lane 0 of (p_num/p_den) returned wrong CubicTrinomialExtensionField. Fix: gather lane coords via PF::as_slice (correct), reconstruct scalar EF element, invert, repack via from_fn. Mitigating factor: no callers in current Plonky3 code use these types as PackedField (search confirmed) — the bug is dormant. Severity Critical because: future prover adopting these types would silently get wrong proofs; the dormancy is not a guarantee
bh3-7	composition	FRI fold_matrix log_arity=k equals chain of arity-2 folds with squared betas	fri/tests/hunt7_fold_matrix_chain.rs	not_found	N/A	81a67877	The in-place halve_inv_powers update halve_inv_powers[j] = 2*halve_inv_powers[2j].square() preserves correctness across log_arity steps. Verified for log_arity=2 (arity 4) and log_arity=3 (arity 8) against the equivalent chain
bh3-8	composition	PackedQuinticTrinomialExtensionField Div regression test (fix verified)	koala-bear/tests/hunt8_packed_quintic_div.rs	regression	N/A	92215b6a	8 distinct nonzero lane values per numerator/denominator on KoalaBear; passes after the bh3-6 fix
bh3-9	composition	PackedFieldExtension::extract on PackedCubic correctly returns lane scalar (uses as_basis_coefficients_slice, not the broken as_slice)	field/tests/hunt9_packed_cubic_extract.rs	regression	N/A	5d667081	The PackedFieldExtension trait default extract is the safe extraction path; PackedValue::extract on these types is broken (bh3-5). Documents the working route for callers
