iter	hypothesis_id	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale	diagnostic
1	h1	-25	-25.5	-	keep	crates/backend/zk-alloc/src/lib.rs:84-151,syscall.rs	MAP_HUGETLB hot slab per thread; detect_hugepages_bytes reads /proc/meminfo, ensure_region mmaps hugetlb region. Refs: Intel 64 IA-32 §4.1 paging, Linux hugetlbfs	2.82s->2.10s warm avg. dTLB-load-misses -80%
2	h-quintuple	-8	0	-	killed	crates/whir/src/dft.rs	LAYERS_PER_GROUP=5 monolithic 32-way block decomposition. 32 scattered streams overwhelm Zen4 prefetcher: +10% cache-misses, +8% TLB-misses negate pass reduction. Perf profile shows DFT is NOT dominant cost (Merkle hashing=27%, DFT inlined into rayon closures)	Dead-end: Zen4 handles ≤8 concurrent prefetch streams efficiently. Do not reattempt DFT pass-reduction.
3	h19+h23	-12	+0.6	-	killed	crates/backend/sumcheck/src/product_computation.rs,crates/backend/koala-bear/src/poseidon1_koalabear_16.rs,crates/backend/symetric/src/sponge.rs,crates/whir/src/merkle.rs	H19: Dao-Thaler delayed-reduction for base×ext product sumcheck (wired existing dead code). H23: dual-sponge Poseidon interleaving two independent permutations per rayon task for ILP. Combined: +0.59% (noise-level regression, p=0.0018). Both reverted.	H19: product sumcheck is ~2% of total, optimization immaterial. H23: single Poseidon already saturates pipeline — Zen4 issues 2 FMA/cycle, dual sponge only adds register pressure without filling idle ports. IPC=0.88 confirms memory-bound, not compute-bound; ILP optimizations are wrong lever.
4	h24	-7	+0.7	-	killed	crates/whir/src/merkle.rs,crates/backend/symetric/src/merkle.rs	Coarsen rayon par_chunks granularity from width (16) to width*batch (~1024), reducing task count from ~1M to ~16K. Applied to first_digest_layer and compress_layer.	+0.68% slower. 14% rayon overhead in flamegraph is call-stack attribution, not synchronization waste. Rayon already amortizes dispatch well at this workload size. The overhead is structural (function call frames), not reducible by batching.
5	h25	-5	-0.4	-	killed	crates/whir/src/merkle.rs	Replace rayon par_chunks with std::thread::scope static partitioning in first_digest_layer. Eliminates work-stealing for uniform Merkle leaf hash workload.	-0.43% (p=0.027, fails p<0.01 gate). Direction correct but effect too small — first_digest_layer is only part of Merkle cost. Need whole-pipeline approach, not single-function replacement.
6	h26	-3	+0.2	-	killed	crates/backend/zk-alloc/src/lib.rs,syscall.rs	MADV_HUGEPAGE for cold slab (was MADV_NOHUGEPAGE). Allow THP for overflow allocations.	+0.2% (p=0.365, pure noise). Warm proofs reuse already-faulted pages. Cold slab THP only helps first proof, not warm steady state.
7	h29	-12	+10.8	-	killed	crates/whir/src/open.rs	SplitEq lazy eq-polynomial for combine_statement. Replaced OOD dual-eq materialization with SplitEq on-the-fly computation during product sumcheck round 1.	+10.8% regression (2.13s→2.36s). Kill condition #2 triggered: SplitEq get_packed() does 1 packed mul per evaluation vs butterfly's incremental-add approach. Per-element SplitEq cost exceeds memory savings. Also sparse buffer still requires full 2^22 packed allocation since selectors collectively cover entire range. Reverted.
8	h27	-3	+8	-	killed	crates/backend/sumcheck/src/product_computation.rs	Delayed modular reduction (u128 accumulation) for base×ext product sumcheck round 1. Wired existing dead code via dispatch_base_ext_packed_sumcheck.	+8% regression. Kill condition #2 triggered: u128 scalar inner loop defeats AVX-512 SIMD. 16 scalar u128 multiplies (~64 cycles) vs 1 packed VPMULUDQ (16 lanes, ~12 cycles with reduction). Delayed reduction saves per-lane modular reduction but SIMD throughput loss dominates on Zen4 with WIDTH=16. Reverted.
9	h30+h33	-16	FAIL	-	killed	crates/whir/src/svo.rs(NEW),open.rs,lib.rs	SVO for initial product sumcheck. Root cause identified: two bugs (1) prefix=point[..l0] should be point[k-l0..] (variable ordering), (2) scalar included value factor. After fixing both, SVO math passes on unit test (2 full OOD statements, 8 vars). Full prover STILL fails because sparse statements (k<26) have DIFFERENT inner variable ranges — their "prefix" doesn't align with the global prefix. Fundamental architectural limitation: SVO requires homogeneous variable binding (cf. Plonky3 VariableOrder), leanMultisig has heterogeneous statements.	Kill: architectural incompatibility proven. SVO cannot work as drop-in replacement for heterogeneous sparse statement structure. Would require restructuring the entire opening phase around per-statement variable ordering.
10	h36	-10	FAIL	-	killed	crates/lean_vm/src/tables/poseidon/mod.rs,trace_gen.rs	Poseidon AIR degree reduction: 16 cols for round-6 intermediate. Constraint correct at degree 10. But ALL 4 full-round pairs degree 9; decomposing all needs 64 cols pushing past 2^26.	Kill: stacked PCS boundary. Only 884K headroom for 48 cols, need 64.
11	h37-WIP1	-28	WIP	-	in_progress	crates/backend/sumcheck/src/packed_sumcheck.rs(NEW)	Packed sumcheck (eprint 2025/719): core algorithm implemented, K=1 matches standard sumcheck. Multi-round fold needs redesign: sub-instances evaluate constraint at d+1 z-points per sub-instance, not just lo/hi halves.	WIP arc: K=1 verified correct. Fold bug: degree-d*(2k-1) comes from constraint evaluation at multiple z-points per sub-instance, need Algorithm 1 from paper.
12	h37-WIP2	-28	WIP	-	blocked	(no code changes)	Packed sumcheck protocol integration blocked: combination randomness (gamma) must be F_{p^5} for batching security. Weights are inherently extension-field. Full protocol change needed: OOD sampling, gamma batching, verifier, recursion circuit. Algorithm correct, path clear, effort multi-day.	Blocked: extension-field gamma for batching security prevents transparent prover-side packed sumcheck.
