iter	stage1_iai_delta	stage1_iai_decision	stage2_median_pct	stage2_p	revert_ab	base_hash	cand_hash	status	files_changed	rationale
1	-	SKIP	+0.7074	0.8	n/a	2503b6b0	756b80e3	discard_wallclock	air_sumcheck.rs	specialize BasePacked eval_fn to direct method call — Fn::call wrapper elimination hypothesis wrong, compiler already inlines through function items
2	+0.0000	FAIL	-	-	n/a	756b80e3	576a2be	discard_iai	product_computation.rs	replace scalar delayed-reduction product sumcheck with generic SIMD path — zero measurable effect, function not a bottleneck
3	-	SKIP	+2.2510	0.46	n/a	37f4fa75	b8d5f3fc	discard_wallclock	packed_extension.rs	eliminate array::try_map overhead in quintic ext with direct array construction — compiler already optimizes try_map away, no measurable effect
4	-	SKIP	-0.7642	0.75	n/a	ea44b5b5	628233de	discard_wallclock	lib.rs,packed.rs,normal.rs,sc_computation.rs,poseidon_16/mod.rs,air_sumcheck.rs	split-degree AIR eval: skip partial round propagation at z>4 using linear state interpolation — savings too small vs overhead (~0.2% mean, high variance)
5	+0.0000	FAIL	-	-	n/a	e9a9baa	1271dbe	discard_iai	sc_computation.rs	reuse point buffer in sumcheck eval (Vec→&[IF]) — zero instruction count change in iai, allocation overhead not visible in single-threaded valgrind
6	-	SKIP	+3.0338	0.26	n/a	889b6d47	95a7a7b5	discard_wallclock	poseidon_16/mod.rs	eliminate 30KB Poseidon1Cols16 struct copy (ptr::read to raw pointer ref) — stack copy helps cache locality and compiler aliasing, removing it regressed +3%
7	-	SKIP	-13.1590	0.0	n/a	7faa3860	ca8447b7	keep	lib.rs,packed.rs,normal.rs,sc_computation.rs,poseidon_16/mod.rs,air_sumcheck.rs	degree-split AIR sumcheck: skip partial rounds at z>4 for BOTH BasePacked AND ExtensionPacked — iter 4 only targeted BasePacked (17% of eval), ExtensionPacked (83%) is where the real savings are
8	-	SKIP	+2.3481	0.4	n/a	d16591f3	6921d87	discard_wallclock	lib.rs,packed.rs,normal.rs,sc_computation.rs,poseidon_16/mod.rs,air_sumcheck.rs	mid-degree full round split: skip first round of Poseidon full round pairs at z>4 via 4-point Lagrange interpolation of degree-3 mid-state — two gate attempts (-4.4%/p=0.06 then +2.3%/p=0.4), high variance indicates marginal effect drowned by noise
9	-	SKIP	+2.0037	0.52	n/a	ed388307	5cd44317	discard_wallclock	utils.rs,sumcheck_utils.rs,mle_single_ref.rs	pass fold_multilinear closures by value instead of &ref to eliminate <&F as FnMut>::call_mut blanket impl indirection — compiler already devirtualizes the reference call, no measurable effect
10	-	SKIP	-2.7533	0.07	n/a	11c932ae	e5d4a7da	discard_wallclock	lib.rs,packed.rs,normal.rs,sc_computation.rs,poseidon_16/mod.rs,air_sumcheck.rs	mid-degree full round split (re-attempt of iter 8): skip first round of Poseidon full round pairs at z>4 via degree-3 Lagrange interpolation of mid-state — best run -2.75%/p=0.07 but 6 gate runs showed high variance (-2.88 to +2.59), true effect ~1% but below noise floor
