iter	stage1_iai_delta	stage1_iai_decision	stage2_median_pct	stage2_p	revert_ab	base_hash	cand_hash	status	files_changed	rationale
1	-	SKIP	+15.0800	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	b83b9c073655c04b5dab8f83485b2f05	discard_wallclock	air_sumcheck.rs	[wallclock-only] deferred folding in AirSumcheckSession — fuse fold+compute via prev_folding_factor. +15% regression: fold_and_sumcheck_compute path reads 2x more data per round (unfolded arrays are twice the size), and sumcheck_fold_and_compute_core for BasePacked lacks the split_eq optimization, falling back to per-element eq_at closure
2	-0.0451	FAIL	-	-	n/a	-	-	discard_iai	quotient_computation.rs	fuse alpha into GKR quotient split_eq — reduce 4 accumulators to 2 in inner loop. -0.045% iai, below 0.10% threshold. GKR quotient is ~5% e2e but instruction savings too small.
3	+0.8734	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	pass &[IF] slices to eval_fn instead of Vec<IF> in sumcheck inner loop. REGRESSED +0.87% iai: explicit indexing+pre-alloc generates worse code than collect(). Confirms dead end from exp1 iters 3,34: compiler optimizes functional collect() better than imperative buffer reuse.
4	-	SKIP	+13.0840	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	a146786249642ba8b51f9a433c96e9ad	discard_wallclock	logup.rs	[wallclock-only] batch MLE eval — precompute eq table via eval_eq once per table point, replace column evaluates with dot products. +13% regression: 2.5MB eq table thrashes L2/L3 cache when scanned 20+ times for dot products vs recursive eval's cache-friendly folding pattern
5	-	SKIP	+22.3870	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	2a6b68c717054fc9dd8d69b8c0b07653	discard_wallclock	sc_computation.rs,air_sumcheck.rs	[wallclock-only] deferred folding in AirSumcheckSession — fuse fold+compute via prev_folding_factor with split_eq for BasePacked. +22% regression: per-element base→extension promotion (EFP*PFP) in inner loop d+1 times per element costs more than the saved memory pass. Eager fold-then-compute is better at scale.
6	-1.9238	FAIL	+9.0258	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	b9fa3849f0d9c92356d79ae0b6987f1a	discard_wallclock	quotient_computation.rs	fuse alpha into GKR quotient inner loop — absorb alpha*u2+u0 before eq_val multiply. iai -1.92% (real instruction savings) but +9% wall-clock: alpha_bc*u2 adds serial dependency to critical path, destroying ILP between independent single/double terms. OoO CPU prefers independent parallel paths over shorter serial chains.
7	-	SKIP	+9.3594	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	ed42ecd79bbbac18bf27c2a8eec693c5	discard_wallclock	logup.rs	[wallclock-only] batch column evals in logup post-GKR — precompute eq(inner_point, ·) table once, dot-product all base-field columns. +9.4% regression: 1.25MB eq table (EF=quintic, 5×4B×2^16) thrashes L2/L3 when scanned 20+ times per table. Same cache issue as iter 4. Recursive fold cache-friendly access pattern wins.
8	-2.0674	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	split_eq optimization for BasePacked sumcheck compute — avoids per-element get_packed(i) (broadcast+EFP×EFP mul). Real -2.07% instruction savings, but iai FAIL: any code change around sumcheck_compute_core closure creates new monomorphization hash (Rust anonymous closure types are position-dependent). Even single match arm with if-else changes closure position. Optimization saves ~130 instructions/element but get_packed is <1% of per-element cost (eval_fn dominates at ~5000 instr/call × degree), so wall-clock impact ~0.2% — below -1.5% [wallclock-only] threshold.
9	-	SKIP	+10.9710	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	b12b334446c2da6d7c26fb7fc245a288	discard_wallclock	sc_computation.rs	[wallclock-only] split_eq for BasePacked sumcheck — dedicated sumcheck_compute_with_split_eq_base avoids per-element get_packed. +11% regression: separate function prevents compiler from inlining eval_fn into sumcheck_compute_core monomorphization — loses cross-closure optimizations. Same code in separate function = different monomorphization = worse codegen.
10	-	SKIP	+8.6310	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	35fa6d638d8783802abd50497b7e23bf	discard_wallclock	air_sumcheck.rs	[wallclock-only] parallel session computation in batched AIR sumcheck — compute bare polys for 3 sessions via rayon par_iter_mut instead of sequentially. +8.6% regression: rayon par_iter_mut overhead (task spawning, work-stealing synchronization) dominates when sessions already use nested par_iter internally. 3 outer tasks with 8 cores = no utilization gain, only contention and cache pollution from concurrent multilinear scans.
