iter	hypothesis_id	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale	diagnostic
0	h1	-1.5	-0.07	413	discard	crates/backend/koala-bear/src/blake3_merkle.rs,crates/whir/src/merkle.rs,crates/backend/fiat-shamir/src/verifier.rs,crates/utils/src/blake3_hash.rs	Unified compress_in_place+OnceLock Platform per Aumasson ePrint 2020/873; extends leaf fast-path 3d840957 to internal nodes+fiat-shamir.	Profile predicted API overhead: blake3::hash only 0.03% tops vs compress_in_place 10.3%. Magnitude off — kill_condition met. Reverted 142b8c4e. Do not reattempt pure API-unify without new profile signal.
1	h3	-4.0	+24.9	413	discard	crates/whir/src/merkle.rs	hash_many batch first_digest_layer_blake3 (Aumasson 2020/873 §2.3; Bagad 2023/1240 §4.2). Correctness OK; unit+run_whir pass.	Eval aborted thermal drift (-8.5% run drift, 8.9% noise floor). R1/R2 both +19–30% slower — batch overhead dominates small WHIR trees. Reverted 051477ca. Do not reattempt hash_many on first layer without larger row batch or profile proof of SIMD win.
2	h4	-2.5	+9.1	413	discard	crates/whir/src/merkle.rs	Column-wise first_digest_layer + OnceLock Platform (Aumasson 2020/873 §4.2). Correctness OK.	+9.1% p=0 (n=12). Column-major absorb adds nested par_iter per chunk; sync overhead beats cache win. Reverted 39ef5656. Do not reattempt column-wise without fused chunk extraction.
3	h2	-3.0	+1.17	413	discard	crates/lean_vm/src/tables/poseidon_16/trace_gen.rs	trace_gen mds_fft_16 vs mds_circ_16 (Grassi 2019/458; Albrecht 2022/1575). Correctness OK.	+1.17% p=0.096 on M4 (noise reliable). Confirms M2 regression — Karatsuba better for tight trace_gen dep chains. Reverted 87aacd64. Do not reattempt mds_fft in trace_gen.
4	h8	-1.5	-0.05	413	discard	crates/utils/src/blake3_hash.rs	utils blake3_compress compress_in_place+OnceLock (Aumasson 2020/873 §5.1). Correctness OK.	-0.05% p=0.89 — noise. Same as h1: blake3::hash not on xmss hot path. Reverted 49544ac1. Execution-time Blake3 not measurable in prove_loop.
5	h9	-1.8	+0.1	413	discard	crates/whir/src/merkle.rs	thread_local Platform cache in blake3_hash_raw for par_iter leaves. Correctness OK.	+0.1% p=0.79 — noise. Per-row detect already cheap vs compress; TLS .with() overhead cancels savings. Reverted 5750e0d9.
6	h10	-1.0	-0.16	413	discard	crates/lean_vm/src/tables/poseidon_16/mod.rs	Hoist sparse table refs before low_degree_block (Grassi 2019/458). Correctness OK.	-0.16% p=0.62 — below 1% gate. Lookups already hoisted by compiler. Reverted 32c86809.
7	h5	-2.0	-0.52	413	discard	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs,crates/lean_vm/src/tables/poseidon_16/mod.rs	Fixed-size [[KoalaBear;16];RP] sparse tables + hoisted AIR refs (Khovratovich 2019/458; Grassi 2021/375). Correctness OK.	-0.52% p=0.14 — R2 hit -1.0% but not significant. Vec→array didn't enable vectorization on symbolic AIR path. Reverted 67626dcc.
—	redirect	—	—	—	—	—	—	Pool reset + METHODOLOGY_REDIRECT.md: stop hash-API micro-optimizations; target proving-system structure (pw5/pw6 class). Next: s1 native precompile bytecode, s2 split WHIR PCS, s3 flag-column trace narrowing.
8	s4	-3.0	+0.12	413	discard	crates/lean_vm/src/tables/blake3/constrained_table.rs	Gate ConstrainedBlake3 g-function/XOR by COL_FLAG_ACTIVE; degree_air 3→4 (Arnon 2024/1586 §6.1; Thaler 2013 §3.2). iter-8 profile: blake3 table 2^12 rows, zero active compressions on xmss 1550.	Correctness failed until degree_air fix (sumcheck under-sampled degree-4 gated constraints). Eval +0.12% p=0.76 — noise. Reverted 2bf9e00d. Blake3 constrained AIR absent from iter-0 top-50; padding skip not on hot path. Do not reattempt flag-gating without active-row fraction model.
9	s5	-2.5	—	—	wip	crates/lean_prover/src/prove_execution.rs,crates/sub_protocols/src/stacked_pcs.rs,crates/rec_aggregation/zkdsl_implem/recursion.py	Omit inactive tables from stacked PCS+AIR; FS transcript adds per-table non_padded_n_rows (Ben-Sasson 2018/740 §5.2). Rust side complete; recursion.py blocked — lean_compiler rejects DynArray push inside if (undeclared vector). Reverted WIP. Arc done when: recursion compiles + correctness + eval gate.
10	s10	-1.0	-0.41	413	discard	crates/sub_protocols/src/stacked_pcs.rs	Drop bytecode_acc pad to max execution height in stacked PCS only (pw4 iter 27). Correctness OK.	Δ=-0.41% p=0.17 — noise (pw4 +0.11% on Hetzner). stacked_n_vars still 26. Reverted 490488c8. Do not reattempt without n_vars drop.
