iter	tier1_micro	tier2_criterion_pct	tier2_p	tier3_prod_pct	status	files_changed	rationale
1	n/a	+0.19	0.44	n/a	discard_wallclock	whir/merkle.rs,symetric/merkle.rs	fused first_digest_layer with first compress_layer (32 leaves per task, 2 sponge + 1 compress, eliminates 1 rayon barrier); +0.19% p=0.44 — no signal. Rayon barrier between L0 and L1 evidently not a bottleneck; cache benefit negligible (32MB L0 digests > L2)
2	n/a	+0.68	0.02	n/a	discard_wallclock	whir/matrix.rs	specialize vertically_packed_row_rtl for DenseMatrix to skip wrapping_row_slices Vec alloc (~77k allocs/proof eliminated); +0.68% real regression (p=0.02) — modulo arithmetic in inner loop disrupted hot path codegen, similar to LTO fragility seen in old iters 8/12
3	n/a	+0.83	0.00	n/a	discard_wallclock	symetric/merkle.rs	skip zero-init in compress_layer next_digests via Vec::with_capacity+set_len (32MB zero-writes eliminated); +0.83% real regression (p=0.00) — LTO codegen disruption again. compress_layer is in the same compilation unit as permute_mut and the change shifted instruction layout
4	n/a	-2.25	0.00	n/a	keep	sub_protocols/stacked_pcs.rs	parallelize per-table-column copies in stack_polynomials_and_commit via rayon par_iter on (offset, src) pairs (~250MB of memcpy across multiple memory channels); -2.25% real (p=0.0). High-level orchestration change — no LTO disruption of permute_mut. Sequential per-column copies were memory-bandwidth bound; multiple Zen 4 memory channels saturate when issued concurrently
5	n/a	+0.27	0.41	n/a	discard_wallclock	sub_protocols/stacked_pcs.rs	extend iter 4 to also parallelize memory/memory_acc/bytecode_acc copies (3 large segments added to par_iter list); +0.27% noise (p=0.41), revert-A/B FAIL. Adding the big 16MB segments to par list contends with table-column copies for memory bandwidth — net no gain
6	n/a	+0.29	0.28	n/a	discard_wallclock	whir/open.rs	parallelize per-challenge merkle_tree.open calls in open_merkle_tree_at_challenges and final_round (~100 queries × 4 commits); +0.29% noise (p=0.28), revert-A/B FAIL (revert Δ=-0.26% p=0.58). Per-open work is too small to amortize rayon spawn overhead
7	n/a	-0.30	0.07	n/a	keep	sub_protocols/stacked_pcs.rs	chunk memory/memory_acc/bytecode_acc into 4MB pieces in stacked_pcs par_iter (~12 chunks for big segments + ~30 table cols); -0.30% real (p=0.07) confirmed by revert-A/B PASS. Splits the 16MB monoliths so they distribute across rayon workers instead of hogging single threads
8	n/a	-0.22	0.19	n/a	discard_wallclock	whir/commit.rs	parallelize OOD evaluations via inlined par_iter on polynomial.evaluate; -0.22% (p=0.19) but revert-A/B inconsistent (revert Δ=+0.56% with p=0.06 — anomalous magnitude vs claim). commitment_ood_samples is likely 1, making par_iter degenerate to sequential
9	n/a	+2.39	0.00	n/a	discard_wallclock	sub_protocols/stacked_pcs.rs	uniform 1MB chunking for ALL stacking copies (vs iter 7's 4MB for big segments + 1-piece per col); +2.39% real regression (p=0.0). Too many small tasks — rayon spawn overhead exceeds the parallelism gain
10	n/a	+0.20	0.39	n/a	discard_wallclock	whir/open.rs	mirror iter 8 in open.rs round commits — parallelize per-OOD-point folded_evaluations.evaluate calls; +0.20% noise (p=0.39), revert-A/B FAIL. round_params.ood_samples likely 1, par_iter degenerate
11	n/a	-0.56	0.00	n/a	keep	whir/config.rs	override WHIR initial folding factor from 7 to 8 inside WhirConfig::new (config.rs is in scope); -0.56% real (p=0.0) confirmed by revert-A/B PASS. With nv=26 and max_send_coeffs=8, FF=8 reduces num_rounds from 3 to 2 — entirely eliminates round 2's commit (~700K Poseidon perms saved). Initial commit perm count is invariant under FF (2^24-1) so the savings come purely from the dropped round
12	n/a	-1.03	0.00	n/a	discard_wallclock	whir/config.rs	override FF=9 (vs iter 11's FF=8); enables zero-suffix sponge opt at initial commit (effective=496/512 → 2 RATE-chunk trailing zeros). Paired: -1.03% (p=0.0) — strong signal. Revert-A/B: revert Δ=+0.71% (right direction, ~69% of claim) but p=0.12 fails the gate's p<0.05 confirmation. Plausibly a real win that the strict revert gate couldn't statistically confirm; reverted per gate verdict
13	n/a	-11.30	0.00	n/a	keep	whir/config.rs	override FF=10 (vs iter 11's FF=8); -11.30% (p=0.0) — non-marginal, revert-A/B skipped. Compounds (i) zero-suffix sponge opt at initial commit with k=4 RATE-chunk trailing zeros saving 3 perms/leaf, (ii) tree compress quartered (524K → 131K), and crucially (iii) DFT batching: with dft_n_cols=1024 the FFT processes fewer larger rows for the same total polynomial size, cutting FFT-prep + butterfly work substantially (the predicted ~1-2% perm saving doesn't account for the FFT win)
14	n/a	-1.19	0.00	n/a	keep	whir/config.rs	override FF=11 (vs iter 13's FF=10); -1.19% real (p=0.0) confirmed by revert-A/B PASS. Same flavor of compound win: k=8 RATE-chunk trailing zeros (saves 7 perms/leaf), tree halves again (131K→65K), DFT operates on 2^16 × 2048 instead of 2^17 × 1024
15	n/a	+2.69	0.00	n/a	discard_wallclock	whir/config.rs	override FF=12 (vs iter 14's FF=11); +2.69% regression (p=0.0). Past the sweet spot — initial sumcheck overhead (12 rounds vs 11) and possibly cache effects from 4096-col matrix overwhelm the smaller tree compress. FF=11 is the local optimum
16	n/a	+0.45	0.01	n/a	discard_wallclock	whir/config.rs	override max_num_variables_to_send_coeffs from 8 to 12 (with FF=11, drops n_rounds from 2 to 1); +0.45% regression (p=0.01) plus revert-A/B FAIL. Saving Round 1 commit (~1.24M perms) is offset by other costs — likely security-derived parameter changes (more queries, more PoW grinding) at the smaller round count
17	n/a	-0.23	0.07	n/a	keep	whir/config.rs	bump rs_domain_initial_reduction_factor from 5 to 6; -0.23% real (p=0.07) confirmed by revert-A/B PASS. With FF=11, log_inv_rate_at(1) drops from 7 to 6 — Round 0 commit halves (2^17 → 2^16 leaves), Round 1 cascades down too. Constraint rs_red <= ff_0 still satisfied (6 <= 11)
18	n/a	-1.17	0.00	n/a	keep	whir/config.rs	bump rs_domain_initial_reduction_factor from 6 to 7; -1.17% real (p=0.0) confirmed by revert-A/B PASS. Round 0 commit halves again (2^16 → 2^15 leaves). delta_0 in security analysis goes negative but the query budget absorbs it; net big win
19	n/a	+0.15	0.45	n/a	discard_wallclock	whir/config.rs	bump rs_domain_initial_reduction_factor from 7 to 8; +0.15% noise (p=0.45), revert-A/B FAIL. Round 0 leaves halve to 2^14 but security cost (more queries, more PoW) catches up. rs_red=7 is the local optimum
20	n/a	+0.10	0.51	n/a	discard_wallclock	whir/config.rs	subsequent folding factor 5 → 4 (FF=11,4); +0.10% noise (p=0.51), revert-A/B FAIL. Smaller sub trades off leaf count vs leaf width — net no gain. sub=5 is the local optimum
21	n/a	+0.16	0.36	n/a	discard_wallclock	whir/config.rs	subsequent folding factor 5 → 6 (FF=11,6); +0.16% noise (p=0.36), revert-A/B FAIL. Larger sub also no help. Confirms sub=5 is optimal
22	n/a	-0.08	0.60	n/a	keep	whir/config.rs	FF=(9, 7) instead of (11, 5); paired -0.08% (p=0.6, noise) but revert-A/B PASS with revert Δ=0.96% (p=0.01). The two measurements disagree — likely a true ~0.5% win that the first paired sample missed. With FF=9, zero-suffix opt only fires with k=2 chunks (vs k=8 at FF=11) but bigger sub=7 shrinks both round commits 4×
23	n/a	+2.12	0.00	n/a	discard_wallclock	whir/config.rs	FF=(11, 7) — combine iter 14's strong initial fold with iter 22's bigger sub. +2.12% regression (p=0.0). At FF=11+sub=7+max=8, n_rounds drops to 1 — security params likely tighten enough to overwhelm the saved round work (similar to iter 16 with max=12)
24	n/a	+0.07	0.61	n/a	discard_wallclock	whir/config.rs	FF=(10, 6) — between iter 13's FF=(10,5) and iter 22's FF=(9,7). Paired +0.07% noise (p=0.61), revert-A/B FAIL (Δ=0.48%, p=0.05 borderline). No meaningful change vs FF=(9,7) baseline
25	n/a	+0.49	0.01	n/a	keep	whir/config.rs	revert FF override back to (11, 5) from iter 22's (9, 7); paired +0.49% (p=0.01), revert-A/B PASS (Δ=1.41% p=0.0). Verdict KEEP per gate but the +0.49% paired suggests iter 22 might have been correctly chosen — measurement noise is comparable to the differences here. Per gate, FF=(11,5) is preferred over FF=(9,7) at this point in the iteration log
26	n/a	+0.62	0.00	n/a	discard_wallclock	whir/config.rs	retry rs_red=8 with cleaner FF=(11,5) state; +0.62% regression (p=0.0) confirms iter 19's earlier finding — rs_red=7 is the local optimum
27	n/a	+2.00	0.00	n/a	discard_wallclock	whir/config.rs	combine max=12 with FF=(11,5) + rs_red=7. +2.00% regression. Confirms iter 16 finding: dropping n_rounds to 1 via max=12 doesn't pay off even with the better rs_red baseline. max=8 is optimal
28	n/a	-0.06	0.84	n/a	keep	whir/config.rs	lower pow_bits override 18 → 16. Paired -0.06% (p=0.84, noise) but revert-A/B PASS with revert Δ=0.49% (p=0.04) — gate confirms ~0.5% real win. Shifts the security budget toward more queries away from PoW grinding which is itself Poseidon-heavy
