iter	hypothesis_id	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale	diagnostic
1	h1	-12	+21	350	discard	zk-alloc/src/{lib,syscall}.rs	MAP_HUGETLB on arena: dTLB miss rate dropped 33%→12% as predicted, but 2MB page fault cost overwhelmed TLB benefit	User time +20%, 549 vs 690 XMSS/s. Arena's bump-reset pattern triggers fresh faults every phase — each 2MB fault zeros 512x more memory than 4KB.
2	h5	-8	+0.51	-	discard	sumcheck/product_computation.rs,poly/utils.rs	PARALLEL_THRESHOLD 512→8192 + delayed-reduction base_ext_packed into round 1	Noise floor 0.64%, delta +0.51% — within noise. Delayed-reduction only fires on 2/26 rounds, too narrow. Rayon overhead at 512 already tolerable.
3	h6	-4	+0.71	-	discard	quotient_gkr/sumcheck_utils.rs	Fused GKR phase2: incremental eq-table fold + in-place polynomial fold	+0.71% (p=0.004) — statistically significant regression. Arena allocator makes allocation near-free. In-place fold defeats hardware prefetch.
4	h10	-5	killed	-	discard	lean_prover/src/lib.rs	WHIR_SUBSEQUENT_FOLDING_FACTOR 5→7: correctness gate FAILED	Recursion circuit hardcodes WHIR round count assumptions. Reverted immediately.
5	h14	-5	-0.43	497	discard	lean_prover/src/lib.rs,rec_aggregation/zkdsl_implem/whir.py	WHIR_SUBSEQUENT_FOLDING_FACTOR 5→7 with circuit fix: added num_chunks=80	Δ=-0.43%, p=0.069. Eliminated round's work dominated by Rayon scheduling overhead, not compute.
6	h18	-2	killed	-	discard	sub_protocols/src/lib.rs	N_VARS_TO_SEND_GKR_COEFFS 5→6: stack overflow in recursion circuit compilation	Stack overflow at any value > 5. Recursive compilation inflates stack depth proportionally to coefficient count.
7	h19	-14	-14.1	-	keep	sub_protocols/src/quotient_gkr/sumcheck_utils.rs	Parallelize GKR phase2 pair_coeffs loop + incremental eq-table fold	3.023→2.597s warm avg. GKR phase2 dominated 28% of proof (840ms). Sequential pair_coeffs was the bottleneck.
8	h24	-8	-8.1	352	keep	lean_vm/src/core/constants.rs,sub_protocols/src/logup.rs	Raise GKR pivot from 8 to 12. MIN_LOG_N_ROWS_PER_TABLE 8→12	1.84→1.69s / 917 XMSS/s. Bottom GKR layers get 7 packed SIMD rounds instead of 3.
9	h14v2	-12	-2.73	340	keep	lean_prover/src/lib.rs,rec_aggregation/zkdsl_implem/whir.py	WHIR_INITIAL_FOLDING_FACTOR 7→8: eliminates one WHIR round (3→2)	1.734→1.687s. Ship gate -26.6% vs origin/main. Δ=-2.73%, p=0.000.
10	-	-	-	-	missing	-	Data not captured — iters.tsv was reset before coordinator logged this iteration	Coordinator monitor gap.
11	-	-	-	-	missing	-	Data not captured — iters.tsv was reset before coordinator logged this iteration	Coordinator monitor gap.
12	h13	-5.0	0.0	414	killed	crates/backend/zk-alloc/src/{lib,syscall}.rs	MADV_HUGEPAGE for THP-based TLB reduction per Hunter OSDI21 §4-5 + Panagiotou MDPI Crypto 2026 §4	THP non-functional on this hardware. AnonHugePages=0 despite THP=madvise + defrag=always. MADV_COLLAPSE returns EINVAL. dTLB miss rate 49.6% unchanged from 53% baseline. Killed, replaced by h16 (MAP_HUGETLB).
13	h16	-5.0	+80.0	414	killed	crates/backend/zk-alloc/src/{lib,syscall}.rs	MAP_HUGETLB hot/cold slab split per Hunter OSDI21 §6	+80% regression despite 62% dTLB miss reduction (14.77% vs 38.67%). IPC dropped 1.86→1.25 from L3 cache set coloring conflict with contiguous hugetlb physical pages. Closes huge-pages investigation.
14	h18	-2.0	-1.09	414	keep	crates/whir/src/merkle.rs	Direct Platform::compress_in_place for leaf hashing per O'Connor BLAKE3 §5.1	-1.09% (p=1.7e-05, n=12). Bypass blake3::hash() API: detect platform once per leaf, call compress_in_place directly with BLAKE3 IV+flags. Eliminates ChunkState init, internal buf copy, per-call Platform::detect(). Leaf chain stays in raw [u8;32] space.
15	h19	-0.3	0.0	414	killed	crates/whir/src/merkle.rs	Direct compress_in_place for internal Merkle nodes per O'Connor BLAKE3 §5.1	0.0% (p>0.5, n=12). Applied h18-style API bypass to blake3_compress_internal (internal Merkle tree nodes). ~524K calls with <100-cycle saving each = ~5ms parallel = below noise floor (0.75%). No measurable impact.
16	h22	-5.0	+49.8	366	killed	crates/lean_vm/src/tables/poseidon_16/{mod,trace_gen}.rs	Poseidon degree reduction via intermediate witnesses per Grassi USENIX21 §4.1 + Gabizon ePrint2020/315 §3	+49.8% regression (2.50s vs 1.67s, n=12). Added 64 intermediate witness columns (4×16) to split degree-9 full-round constraints into degree-3 pairs. degree_air 9→3, n_constraints 83→147, n_columns 101→165. Correctness passed. Root cause: cascading cost through recursion circuit. 64 extra columns = 64 more field multiplications in in-circuit AIR verifier, growing bytecode (self-referential recompilation 18→19), execution trace, and all downstream WHIR/commitment costs. The column-count amplification through the recursion circuit dominates the sumcheck evaluation-point savings.
17	h17	-1.8	+0.18	414	killed	crates/sub_protocols/src/air_sumcheck.rs	Parallelize AIR sumcheck sessions via rayon::scope per Chiesa Marlin §4.2	+0.18% (p=0.18, n=12). Used rayon::scope to launch compute_bare_round_poly and process_challenge for all active sessions concurrently instead of sequentially. No measurable improvement: nested rayon parallelism (sessions launching par_iter inside rayon::scope tasks) doesn't reduce barrier overhead — the thread pool already handles work stealing efficiently. The 14% rayon overhead in profiles is from within-region synchronization, not dispatch/join.
18	h28	-2.0	+0.13	414	killed	crates/sub_protocols/src/air_sumcheck.rs	Software prefetch next row pair in AIR sumcheck inner loops per Drepper CPUMEMORY §6.3.1	+0.13% (p=0.37, n=12). Added _mm_prefetch(T0) for next (i0,i1) pair in both compute_raw_poly_impl and compute_raw_poly_degree_split. Despite confirmed L1 aliasing (5.76% miss rate, all 136 columns at 8MB stride → same L1 set), prefetch is ineffective: eviction occurs within a single row's column loads (136 cols / 8-way = 17× oversubscription per set), not between consecutive rows. Prefetch brings data in only to be evicted before use. Closes prefetch approach; L1 aliasing requires layout change, not software hints.
19	h27	-3.0	-0.15	414	killed	crates/sub_protocols/src/air_sumcheck.rs	L1 cache set padding for AIR sumcheck column allocations per Drepper CPUMEMORY §6.2.2	-0.15% (p=0.32, n=12). Added per-column bump-allocator padding (col_idx%64 × 64B) before each column Vec in AIR sumcheck session init, distributing 136 Poseidon16 columns across all 64 L1D sets instead of all mapping to set 0. Eliminated systematic L1 conflict misses. Zero improvement: out-of-order execution on Zen 4 (IPC=1.86) effectively hides L1→L2 latency (~4 cycles). Combined with H28 (prefetch null), conclusively closes the L1 cache aliasing investigation — the AIR sumcheck inner loop is compute-bound, not memory-bound.
20	h29	-2.0	+0.14	414	killed	crates/backend/sumcheck/src/product_computation.rs	Delayed modular reduction for first WHIR product sumcheck round per Barrett 1986	+0.14% (p=0.36, n=12). Wired up existing dead-code compute_product_sumcheck_polynomial_base_ext_packed (u128/i128 accumulators with delayed Barrett reduction) for the (BasePacked, ExtensionPacked) first round of run_product_sumcheck. Zero improvement: the generic packed extension-field multiplication is already efficiently pipelined by Zen 4's out-of-order engine. Barrett reduction latency (~3 cycles) is hidden by ILP in the sumcheck quadratic inner loop. The delayed-reduction approach trades memory (u128 accumulators) for latency that wasn't on the critical path. Closes delayed-reduction line for product sumcheck.
	21	h32	-2.5	+0.41	414	killed	crates/whir/src/open.rs	Batch scatter-add in combine_statement: read inner_poly once per statement	+0.41% (p=0.043, n=16). Reversed loop nesting to iterate elements first, scatter to all N output slices. Regression: original column-first streaming reads benefit from hardware prefetch, beating element-first scattered writes despite fewer total reads. Closes combine_statement bandwidth optimization.
	22	h35	-4.0	-0.21	414	killed	crates/lean_vm/src/tables/blake3/constrained_{cols,table,trace}.rs	Eliminate 32 output_state columns from Blake3 constrained table via direct G→state down constraints	-0.21% (p=0.13, n=4). Removed 31 committed columns (339→308), replaced two-hop state constraints with direct G-function-output-to-down constraints using degree-breaker column. Statistically insignificant. Blake3 has only 2^11 rows — the 31-column reduction removes 63K of 58.5M stacked elements (0.1%). Recursion cascade effect exists but is unmeasurable at this scale. Column reduction on the WRONG TABLE — Poseidon16 (101 cols × 2^18) dominates stacking, not Blake3.
	23	h39	-2.5	-0.20	414	killed	crates/sub_protocols/src/lib.rs	Increase N_VARS_TO_SEND_GKR_COEFFS from 5 to 8 to skip 3 GKR layers	-0.20% (p=0.086, n=6). Saved 3 GKR layers (~37ms predicted) but sending 256 vs 32 coefficients increases in-circuit evaluation work. The recursion circuit cascade nearly exactly offsets the GKR layer savings: more coefficients → more in-circuit polynomial evaluation → larger bytecode → more execution trace. The current value of 5 is already near-optimal for this self-referentially compiled system.
	24	h44	-2.5	+8.04	414	killed	crates/sub_protocols/src/stacked_pcs.rs,crates/whir/src/{commit,utils,lib}.rs	Fused stacking + DFT input preparation: write transposed DFT matrix during column stacking	+8.04% regression (1.784s vs 1.651s, p≈0, n=6). Per-element transposed write during stacking has stride 960B across 500MB DFT buffer, thrashing cache during what was previously clean sequential memcpy. The scattered write cost vastly exceeds the original random-read cost of prepare_evals_for_fft (58-78ms), which benefits from rayon's parallel prefetching. Closes fused-stacking approach for DFT transpose elimination.
	25	h46	-2.0	-0.30	414	killed	crates/whir/src/utils.rs	Cache-blocked tiled transpose for prepare_evals_for_fft_unpacked per Frigo FOCS99 §4	-0.30% (p=0.08, n=24). L2-aware tiling (32 cols × 4K rows per tile) did not improve over rayon's default par_iter chunking. rayon already distributes contiguous output ranges to threads, providing adequate spatial locality within each thread's work. The stride-2^18 random reads are absorbed by L3 and hardware prefetch in the parallel setting. Closes cache-blocking approach for DFT prep transpose.
	26	h42	-1.0	-0.33	414	killed	crates/sub_protocols/src/stacked_pcs.rs	MADV_POPULATE_WRITE pre-fault for stacked polynomial 268MB allocation per Blelloch §3.2	-0.33% (p=0.243, n=24). Pre-faulted all 65,536 pages via MADV_POPULATE_WRITE. No measurable impact: page faults during par_iter column copy are not serialized — zk-alloc's arena already keeps pages warm from prior proof iterations. The cold-path page faults (proof 0) are irrelevant since benchmark uses warm proofs (proof 1+). Closes page-fault pre-faulting approach for stacked polynomial.
	27	h49	-3.0	killed	-	killed	-	Lazy weight evaluation in product sumcheck: eliminate 1.28GB combined_weights materialization per Thaler §4.3.1	Killed in Phase 1. compute_eval_eq_packed_dual is ~56% compute-bound, ~44% bandwidth-bound. On-the-fly eq computation during product sumcheck would save ~60ms bandwidth but add ~48ms compute (8 rounds × 6ms per round). Net savings ~12ms (0.7%), below noise floor. Additionally, lazy approach requires maintaining scalar eq tables (2 × 2^26 × 20B = 2.68GB) LARGER than current packed combined_weights (1.34GB). Closes lazy-weight-evaluation approach.
	28	h50	-3.0	killed	-	killed	-	Fuse combine_statement into first product sumcheck round (streaming eq weights) per Thaler §4.3.1, §13.1	Killed in Phase 1. On-the-fly per-element eq evaluation requires O(n_vars × 2^n_vars) = 10x more compute than recursive doubling's O(2^(n_vars+1)). SplitEq decomposition (hi/lo split) saves 135ms from combine_statement but adds ~205ms of extra EFPacking multiplies in the product sumcheck inner loop (4 muls/pair vs 2 muls/pair). Net regression. No streaming approach can beat materialized recursive-doubling eq computation for this buffer size. Closes fused-combine-statement approach.
	29	h51	-1.5	killed	-	killed	-	Pipeline overlap: memory_acc construction with stacking copy per Blelloch & Gibbons 2004 §2	Killed in Phase 1. Dependency analysis failure: memory_acc is consumed by BOTH stack_polynomials_and_commit AND prove_generic_logup. The shifted column computation happens AFTER logup, not before. No independent computation exists to overlap with memory_acc. Revised mechanism (fuse into stacking buffer) saves <1ms. Closes pipeline overlap approach for prove_execution.
	30	h48+h53	-1.5	+0.02	414	killed	crates/sub_protocols/src/logup.rs	Batch parallel post-GKR column evaluations: evaluate_sequential + outer par_iter per Thaler §4.3.1, Vu IEEE S&P 2013 §5.1	+0.02% (p=0.91, n=12). Pre-collected unique column indices per table, batch-evaluated all via par_iter + evaluate_sequential, and parallelized top-3 large evaluations (memory/memory_acc/bytecode_acc) via rayon::join. Zero measurable improvement. Post-GKR evaluation total time is likely <10ms, making the optimization below noise floor. The original sequential evaluate() calls with internal PARALLEL=true were already efficient — switching to evaluate_sequential + outer par_iter doesn't improve throughput because each individual evaluation is small enough that rayon overhead dominates.
	31	h56	-0.4	killed	-	killed	-	DFT zero-column elimination: skip FFT butterflies on padding columns per Frigo FOCS99 §2	Killed in Phase 1 analysis. DFT prep produces 240 columns but only ~226 are effective (14 zero-padded). Savings from skipping zero columns in butterflies: 14/240 × 107ms = 6.2ms. At 0.4% of total, below 0.64% noise floor. No implementation attempted.
