hypothesis_id	magnitude	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale
iter0-baseline	-	-	-	322.7	-	-	baseline c868330c, proof_size=330464 bytes
h1-attempt1	medium	1.5	0.08	-	discard	poseidon1_koalabear_16.rs	A.2 SSA-hoist of split.s_hi/s0 into local arrays for partial-round loop. Eliminates per-iter transmute(&mut split.s_hi) aliasing pattern. Result: +0.08% (p=0.60, n=4). Diagnostic class (a) hypothesis-wrong — LLVM was already scoping cleanly; refactor is semantically equivalent and produces same codegen behavior. Different binary hash, identical perf. Reverted at 2c6e1b5f.
h2-attempt1	medium	2.5	-0.13	-	discard	poseidon1_koalabear_16.rs	A.3 fuse 16 lambda muls into first layer of dit_fft (bt_lam butterflies). Predicted: removes lambda-mul/bt-add phase boundary, lets OOO overlap. Result: -0.13% (p=0.83, n=4). Diagnostic class (a) hypothesis-wrong — Zen 4 OOO already overlaps lambda muls with bt adds via reorder-buffer; explicit fusion has no measurable advantage. Same mul-port saturation either way. Reverted at fe721707.
h3-attempt1	structural	3.0	0.32	-	discard	poseidon1_koalabear_16.rs,permutation.rs,merkle.rs	A.1 x2 batched permutation: permute_simd_x2 + compress_mut_x2 trait method + compress_layer 2-chunk pairs. ~200 LoC structural. Result: +0.32% (p=0.30, n=4 — null, slight regression bias). Diagnostic class (a) hypothesis-wrong — OOO already overlaps the two independent state chains via Tomasulo; source-level interleaving is equivalent to 2x sequential compress that OOO unwinds. Also compress_layer is only ~3% of total runtime, so even a 50% per-call win = 1.5% total, near floor. Reverted at ee7cac06.
h4-noop	medium	-	-	-	dead-end	-	D.2 Toom-Cook product-folding: program.md claimed current samples at {0,2} but inspection of product_computation.rs:282-303 and :143-162 shows both compute_product_sumcheck_polynomial variants ALREADY sample at {0,∞} via sumcheck_quadratic returning (y0*x0, (y1-y0)(x1-x0)) = (f(0), leading_coef). c1 derived from sum-2c0-c2. Optimization is already applied; D.2 has no remaining surface. No code change attempted.
h5-attempt1	medium	2.0	-0.83	-	orphan	poseidon1_koalabear_16.rs	A.2-style profile-driven attack on rank-1 update spill. Perf annotate on baseline showed for j in 0..15 partial-round rank-1 update kept as tight loop with s_hi[j] indexed off 0x780(%rsp,%rsi,1): 2.28%+1.31%=3.6% in stack r/w. Manually unrolled to 15 explicit lines → grep -c rsp,%rsi went from 2 to 0 in candidate binary (confirmed codegen change). Result -0.83% real, p=8e-06, n=24. ORPHAN (between 0.5% floor and 1.0% gate). NOT REVERTED (held in branch 943b65a1 for bundling with next compatible medium/structural).
h6-attempt1	medium	1.5	0.26	-	discard	poseidon1_koalabear_16.rs	Bundle attempt with h5: extend unroll pattern to lambda muls + full-round add_rc_and_sbox + fused mi_mds. Cumulative (h5+h6 vs c868330c) measured -0.57% (p=0.018), so h6 alone = +0.26% regression on top of h5. Diagnostic (b) implementation-bug or (c) compiler-quirk: unrolling MORE loops past the rank-1 hit a tipping point where added code size or register pressure cost more than it saved. Reverted at 183c38ce. h5 orphan remains on branch.
h7-attempt1	medium	1.5	0.04	-	discard	poseidon1_koalabear_16.rs	Bundle attempt with h5: hoist state from &mut param to local SSA array in permute_simd. Hypothesis: LLVM was emitting load/store via (%rsi,%rdx,1) at round boundaries, treating &mut as potentially-aliased. Result: cumulative h5+h7 = -0.79% (p=0.000823, n=24), essentially same as h5 alone. h7 contributed 0.04% (zero within noise). Diagnostic (a) hypothesis-wrong — LLVM already auto-localizes state across the SIMD body; the explicit hoist is redundant. The (%rsi,%rdx,1) pattern in disasm is from stack-resident state-copy LLVM ALREADY makes at function entry. Reverted at 4df0a681.
h8-attempt1	medium	1.5	1.24	-	discard	poseidon1_koalabear_16.rs,lean_vm/tables/poseidon_16/mod.rs	Bundle attempt: unroll mds_fft_16 lambda loop + sparse_mat_air_16 inner loops (AIR-side path, eval_2_full_rounds 5.4% + Poseidon16Precompile::eval 2.25% surface). Result: cumulative h5+h8 = +0.41% (p=0.0098 regression!), so h8 alone added +1.24%. Diagnostic (c) compiler-quirk — unrolling generic-over-R functions changed monomorphization patterns (Copy bound + larger function size) in ways that hurt other call sites or pushed past inline budgets. The h5 mechanism is NOT broadly applicable; only worked for the specific stack-spill case. Reverted at 4bef164d.
h9-attempt1	medium	1.0	0.16	-	discard	merkle.rs	NOT bundled with h5 (different file: symetric/merkle.rs vs poseidon1_koalabear_16.rs). Standalone hypothesis: pair adjacent SIMD chunks per rayon task in compress_layer (halve task count → halve rayon overhead + L1 reuse). Result: cumulative h5+h9 = -1.00% (p=6.3e-05, n=24), so h9 alone added only -0.17% (real but below 0.5% floor → not even orphan-eligible). Diagnostic (a) hypothesis-wrong: rayon overhead reduction smaller than predicted — most rayon overhead is in OTHER par_iter calls, not compress_layer. Reverted at 7086fa49.
